board_name,url
Lib Tech Travis Rice Gold Member,https://thegoodride.com/snowboard-reviews/lib-tech-travis-rice-gold-member-2016-2019-snowboard-review
Lib Tech Travis Rice Pro HP,https://thegoodride.com/snowboard-reviews/lib-tech-travis-rice-pro-hp-2016-2019-snowboard-review
Lib Tech Travis Rice Speedodeeps,https://thegoodride.com/snowboard-reviews/lib-tech-travis-rice-speedodeeps-2014-2017-snowboard-review
Lib Tech TRS Firepower,https://thegoodride.com/snowboard-reviews/lib-tech-trs-firepower-snowboard-2015-2019-snowboard-review
Lib Tech TRS HP,https://thegoodride.com/snowboard-reviews/lib-tech-trs-hp-2014-2020-snowboard-review
Lib Tech Utility Knife,https://thegoodride.com/snowboard-reviews/lib-tech-utility-knife-2017-snowboard-review
Lib Tech Woodsmith Coho,https://thegoodride.com/snowboard-reviews/lib-tech-woodsmith-coho-2017-snowboard-review
Lib Tech Worlds Greenest Snowboard,https://thegoodride.com/snowboard-reviews/lib-tech-worlds-greenest-snowboard-2016-2018-review
Loaded Algernon,https://thegoodride.com/snowboard-reviews/loaded-algernon-2016--2019-snowboard-review
Lobster Aaron Schwartz Artist Edition,https://thegoodride.com/snowboard-reviews/lobster-aaron-schwartz-artist-edition-2020-snowboard-review
Lobster Halldor Pro,https://thegoodride.com/snowboard-reviews/lobster-halldor-pro-2020-snowboard-review
Marhar Archaic,https://thegoodride.com/snowboard-reviews/marhar-archaic-2018-snowboard-review
Marhar Darkside,https://thegoodride.com/snowboard-reviews/marhar-darkside-2018-snowboard-review
Marhar Half Breed,https://thegoodride.com/snowboard-reviews/marhar-half-breed-2018-snowboard-review
Marhar Lumberjack,https://thegoodride.com/snowboard-reviews/marhar-lumberjack-2018-snowboard-review
Marhar Regent,https://thegoodride.com/snowboard-reviews/marhar-regent-2018-snowboard-review
Marhar Woodsman,https://thegoodride.com/snowboard-reviews/marhar-woodsman-2018-snowboard-review
Moss Snowstick 58 Swallow,https://thegoodride.com/snowboard-reviews/moss-snowstick-58-swallow-snowboard-review
Moss Snowstick  C3,https://thegoodride.com/snowboard-reviews/moss-snowstick-c3-2019-2020-snowboard-review
Moss Snowstick Jellyfish,https://thegoodride.com/snowboard-reviews/moss-snowstick-jellyfish-2019-2020-snowboard-review
Moss Snowstick Performance Quad 54,https://thegoodride.com/snowboard-reviews/moss-snowstick-performance-quad-54-snowboard-review
Moss Snowstick Performance Quad 60,https://thegoodride.com/snowboard-reviews/moss-snowstick-performance-quad-60-snowboard-review
Moss Snowstick U4,https://thegoodride.com/snowboard-reviews/moss-snowstick-u4-snowboard-review
Moss Snowstick  U5,https://thegoodride.com/snowboard-reviews/moss-snowstick-u5-snowboard-revie
Moss Snowstick Wing Swallow 49,https://thegoodride.com/snowboard-reviews/moss-snowstick-wing-swallow-49-snowboard-review
Moss Snowstick Wing Swallow 57,https://thegoodride.com/snowboard-reviews/moss-snowstick-wing-swallow-57-snowboard-review
Never Summer Big Gun,https://thegoodride.com/snowboard-reviews/never-summer-big-gun-2018-2020-snowboard-review
