board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year
Never Summer Womens Maverix,https://thegoodride.com/snowboard-reviews/never-summer-womens-maverix-2018-2019-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,Women's,USA by Never Summer,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Great,Good,Good,Good,Great,Average,Average,Average,Average,"['2018', '2019']"
Never Summer Womens Proto Synthesis,https://thegoodride.com/snowboard-reviews/never-summer-womens-proto-synthesis-2021-snowboard-review,Loved it!,All Mountain Freestyle,Intermediate - Advanced,"Women's, < 8, 8-10",USA by Never Summer,True Twin,Hybrid Rocker,Centered,Feels Normal,Average,Great,Good,Great,Great,Great,Great,Good,Great,['2021']
Never Summer Womens Proto Type Two,https://thegoodride.com/snowboard-reviews/never-summer-womens-proto-type-two-2017-2019-snowboard-review,Loved it!,All Mountain Freestyle,Intermediate - Expert,Women's,USA by Never Summer,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Normal,Average,Great,Good,Good,Great,Excellent,Excellent,Good,Great,"['2017', '2019']"
Niche Ember,https://thegoodride.com/snowboard-reviews/niche-ember-2020-snowboard-review,Liked it!,All Mountain,Intermediate - Advanced,"Women's, 8-10, 10-12",None,Tapered Directional,Hybrid Camber,Setback -12.5mm,Feels Normal,Great,Good,Great,Great,Good,Average,Good,Poor,Good,['2020']
Niche  Minx,https://thegoodride.com/snowboard-reviews/niche-minx-2020-snowboard-review,Pretty Good,Freestyle,Beginner - Intermediate,"Women's, 8-10",None,True Twin,Flat to Rocker,Centered,Feels Normal,Good,Average,Average,Good,Good,Great,Good,Great,Average,['2020']
Niche  Nightshade,https://thegoodride.com/snowboard-reviews/niche-nightshade-2020-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Advanced,"Women's, 8-10",Austria,True Twin,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Good,Great,Great,Great,Good,Great,['2020']
Niche Sonnet,https://thegoodride.com/snowboard-reviews/niche-sonnet-2020-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Advanced,"Women's, 8-10",None,Directional Twin,Hybrid Rocker,Centered,Feels Normal,Good,Good,Average,Good,Great,Great,Good,Good,Average,['2020']
Nitro Drop,https://thegoodride.com/snowboard-reviews/nitro-drop-women's-snowboard-review,Liked it!,Aggressive All Mountain,Intermediate - Advanced,Women's,None,Tapered Directional,Mostly Camber,None,Feels Normal,Good,Great,Great,Great,Good,Good,Good,Average,Average,[]
Nitro Fate,https://thegoodride.com/snowboard-reviews/nitro-fate-2010-2019-women's-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,Women's,None,Directional Twin,Mostly Camber,Setback -15mm,Feels Normal,Average,Great,Great,Great,Good,Great,Great,Average,Great,"['2010', '2019']"
Nitro Mercy,https://thegoodride.com/snowboard-reviews/nitro-mercy-women's-snowboard-review,Liked it!,Freestyle,Intermediate - Expert,Women's,None,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Great,Great,Great,Great,Great,Great,Great,Great,[]
